job_state,avg_salary
DC,149
NC,149
WI,144
AL,142
IA,140
AZ,140
WA,134
NY,133
MS,133
NH,132
OR,131
RI,130
VA,127
TX,127
OK,122
 NJ,121
IL,120
CA,119
OH,118
MA,118
MI,118
FL,118
PA,115
WV,114
MO,114
IN,113
MD,112
GA,109
NE,104
UT,104
LA,103
CO,103
KS,103
TN,101
CT,98
SC,95
MN,93
